psraid	int_date	area	state	tz	cregion	fips	msa	usr	usr1	form	sex	q1	q2	q3	q4	q5f1	q6a	q6b	q6cf1	q6df1	q6ff2	q6gf2	q6h	thought	precinct	oftvote	planto1	scale10	q8	q8a	q9f1	q10f2	q12	q13	q14	q15	q16	q17	q20	q21	q24	q25	q26a	q26b	q26c	q26df1	q26ef1	q26ff1	q26gf1	q26hf1	q26if1	q26jf2	q26kf2	q26lf2	q26mf2	q26nf2	q26of2	q27a	q27b	q27c	q27df1	q27ef1	q27ff1	q27gf1	q27hf1	q27if1	q27jf1	q27kf2	q27lf2	q27mf2	q27nf2	q27of2	q27pf2	q27qf2	q29f1	q30f2	q31	q40	q41	q42	q42x	q43	q44f1	q45f2	q46	q50	q51	q52	q53	q55	q56	q58	q59	q61	q62f1	q63f2	q64	q65	q66a	q66b	q66c	age	educ	hisp	race	marital	parent	relig	born	attend	religos	income	regist	regicert	party	partystr	partyln	q67	q68	ideo	pvote04a	pvote04b	employ	ownrent	labor	zipcode	contact	name	website	q2_1	q2_2	q2_3	q2vb	q5f1_1	q5f1_2	q5f1_3	q5f1vb	recage2	density3	rbcounty	recage	receduc	racethn	weight	attempt	fcall	partyid	ideology	male	white	black	unemployed	union	Income	education	income_i	religattend	ginicnty05_09	pctwht0610cnty	totpop0610cnty	pctblk0610cnty	medhinc0610cnty	pkerry	pbush04	partyid_01	ideology_01	education_01	income_i_01	religattend_01	ginicnty05_09_01	totpop0610cnty_01	pctblk0610cnty_01	medhinc0610cnty_01	pbush_01	Age	Income_01	divided	hispanic	asian	gender
387	90706	256	1	"c"	3	1043	0	"R"	3	1	2	2	1	9	4	1	1	1	1	1			4	3	2	3	1	10	2		4		2	2	1	1	2	2	2	1	1	1	3	2	2	1	1	1	1	1	1							2	2	2	2	2	2	2	2	2	2								2		2	9	9	1	4	2	1		1	3	3	1	1	1	2	2	2	1	4		1	3	1	3	2	40	2	2	1	1	1	1	1	3		3	2		3		2		3	3	2		3	2	4	35057	1	1	2	18	20		"crime,drugs"	19			"law enforcement"	2	2	5	3	1	1	3.1219512195121952	2	60906	2.0	3.0	0.0	1.0	0.0	1.0	0.0	3.0	2.0	3.0	4.0	0.45	96.09462	79941	0.9119225	38567	0.23	0.76	0.25	0.5	0.16666667	0.25	0.6	0.42187494	0.0080726	0.0125003	0.16372186	0.7922078	40.0	0.25	1.0	0.0	0.0	0.0
809	90906	256	1	"c"	3	1049	0	"R"	3	2	1	1	1	1	2		2	4			9	3	4	3	1	1	1	10	1			1	1	1	1	1	1	2	3	1	1	2	3	2	2							2	1	1	1	1	1	9	1	1								4	9	4	1	1	4	1		1	9	1	2	9	2	1		2	2	2	2	2	9	1	2	1	1	2		2	2	1	2	2	1	35	5	2	1	1	1	1	1	1		5	1	1	1	1		3		2	1	1	1	1	4	35957	2		2	62	17		"TERRISM, SCHOOLS"					2	1	5	3	3	1	1.6829268292682926	8	60907	5.0	4.0	1.0	1.0	0.0	0.0	0.0	5.0	5.0	5.0	6.0	0.458	92.49122	70038	1.599132	35065	0.29	0.7	1.0	0.75	0.6666667	0.5	1.0	0.45312503	0.0070576444	0.021920316	0.12569095	0.7142857	35.0	0.5	0.0	0.0	0.0	1.0
388	90706	256	1	"c"	3	1049	0	"R"	3	1	2	1	1	9	2	1	3	3	2	3			2	1	1	3	1	9	1		4		1	9	1	1	3	2	3	2	1	2	2	2	2	2	3	2	2	2	2							1	1	1	4	9	2	1	9	1	1								1		9	1	1	1	2	2	1		2	3	2	2	1	1	2	1	1	2	3		9	1	2	3	1	51	5	2	1	1	2	1	1	4		4	1	1	1	2		3		3	1	1	1	1	4	35978			1	62			"TERRORIST"	98			"MARRIAGE LAWS"	3	1	5	4	3	1	1.4390243902439024	3	60907	4.0	3.0	0.0	1.0	0.0	0.0	0.0	4.0	5.0	4.0	3.0	0.458	92.49122	70038	1.599132	35065	0.29	0.7	0.75	0.5	0.6666667	0.375	0.4	0.45312503	0.0070576444	0.021920316	0.12569095	0.7142857	51.0	0.375	0.0	0.0	0.0	0.0
808	90806	256	1	"c"	3	1055	23460	"S"	2	1	2	1	1	1	2	1	2	2	3	2			2	3	1	1	1	10	9	1	4		1	1	1	1	9	2	3	1	2	2	1	1	2	2	1	1	1	2	2							2	9	1	9	1	2	1	1	1	1								3		2	1	1	1	2	2	1		1	3	3	2	9	2	3	1	1	2	2		1	3	2	3	1	53	3	2	1	1	2	1	1	3		5	1	1	1	2		3		2	1	1	2	1	4	35954			1	96			"THE DIVISION"	25			"THE STEVE IREIN TRADGEY AND THE NATLIE HARDAWAY DISSAPERENCE"	3	2	4	4	2	1	2.292682926829268	7	60907	4.0	4.0	0.0	1.0	0.0	0.0	0.0	5.0	3.0	5.0	4.0	0.442	82.09886	104066	15.046221	36422	0.36	0.63	0.75	0.75	0.33333334	0.5	0.6	0.390625	0.010545163	0.20624809	0.14042766	0.6233766	53.0	0.5	0.0	0.0	0.0	0.0
918	90806	334	1	"c"	3	1067	20020	"S"	2	1	2	1	1	9	2	9	2	3	3	3			2	3	1	2	1	9	1		2		1	9	2	1	1	9	3	1	2	3	2	2	2	3	3	2	2	1	2							1	1	1	1	4	3	1	3	4	1								1		1	3	1	1	2	2	9		9	3	3	1	1	1	3	9	9	1	2		9	3	3	3	3	41	6	2	1	1	1	1	1	1		5	1	1	1	1		9		2	1	1	1	1	4	36345	1	2	1	62			"tERRORISM"	99				2	1	4	3	4	1	2.024390243902439	10	60907	5.0	4.0	0.0	1.0	0.0	0.0	0.0	5.0	6.0	5.0	6.0	0.44	68.072075	17148	29.280382	38379	0.33	0.66	1.0	0.75	0.8333333	0.5	1.0	0.3828125	0.0016369652	0.40136477	0.16168022	0.66233766	41.0	0.5	1.0	0.0	0.0	0.0
749	91006	205	1	"c"	3	1073	13820	"S"	2	1	2	1	1	1	1	1	2	1	1	1			1	1	1	1	1	10	9	1	4		1	9	1	1	1	2	3	1	1	3	1	1	1	1	1	1	1	1	1							3	3	3	3	3	3	3	3	3	1								1		4	1	2	1	2	1	2		2	3	3	1	1	1	2	1	9	1	2		1	1	3	3	3	67	6	2	1	1	2	1	1	1		4	1	1	1	2		1		2	1	1	3	1	4	35071	1	1	2	96			"the people are not unointed"	20			"i read the whole paper and watch all the news, outsourciing all the jobs to foreign countries, we are selling out our country."	4	3	3	6	4	1	1.6097560975609757	6	60907	4.0	4.0	0.0	1.0	0.0	1.0	0.0	4.0	6.0	4.0	6.0	0.489	54.515827	656912	41.764652	45244	0.45	0.54	0.75	0.75	0.8333333	0.375	1.0	0.57421875	0.067206174	0.57249457	0.23623253	0.5064935	67.0	0.375	1.0	0.0	0.0	0.0
750	90806	205	1	"c"	3	1073	13820	"U"	1	1	1	2	1	2	1	1	2	2	4	3			3	3	1	2	2	2	2		2		2	2	2	2	2	1	2	1	4	1	1	2	2	1	1	2	1	1	1							2	2	2	2	2	4	2	2	2	4								2		4	2	2	1	4	2	2		2	4	3	1	1	2	4	2	2	2	4		2	3	1	1	2	62	6	2	1	1	2	1	2	2		6	1	1	2	1			1	3	1	2	3	2	4	35244	1	1	1	1			"THE ECONOMY"	96			"THE WAR OVER SEAS IN THE MIDDLE EAST"	3	3	3	5	4	1	1.5609756097560976	1	60908	1.0	3.0	1.0	1.0	0.0	1.0	0.0	6.0	6.0	6.0	5.0	0.489	54.515827	656912	41.764652	45244	0.45	0.54	0.0	0.5	0.8333333	0.625	0.8	0.57421875	0.067206174	0.57249457	0.23623253	0.5064935	62.0	0.625	1.0	0.0	0.0	1.0
751	91006	205	1	"c"	3	1073	13820	"S"	2	1	2	2	1	2	2	1	2	2	3	3			1	1	1	1	1	10	2		1		2	1	2	1	3	2	3	1	2	2	1	2	2	4	2	2	1	1	2							2	2	2	1	2	2	2	2	2	1								2		1	2	1	1	3	2	2		2	4	3	1	1	2	3	2	2	1	3		1	1	1	1	2	34	3	2	2	5	1	1	1	2		2	1	1	2	2			3	3	1	2	3	1	4	35204	2		2	60			"the war"	98			"THE GUY THEY CAUGHT"	2	3	3	2	2	2	2.1463414634146343	11	60908	2.0	3.0	0.0	0.0	1.0	1.0	0.0	2.0	3.0	2.0	5.0	0.489	54.515827	656912	41.764652	45244	0.45	0.54	0.25	0.5	0.33333334	0.125	0.8	0.57421875	0.067206174	0.57249457	0.23623253	0.5064935	34.0	0.125	1.0	0.0	0.0	0.0
752	91006	205	1	"c"	3	1073	13820	"U"	1	2	1	1	1	2	4		2	2			2	2	2	1	1	3	1	10	1			1	2	2	1	2	1	1	1	1	1	1	2	1	1							1	1	4	1	4	4	1	1	1								1	1	1	1	1	1	1		2	9	3	2	1	3	2		2	1	3	2	2	1	1	2	1	1	1		1	2	3	2	1	1	64	3	2	1	1	2	2	1	2		2	1	2	3		1	1		2	1	1	2	1	4	35226			1	20			"drugs"					3	3	3	5	2	1	2.1951219512195124	2	60908	4.0	4.0	1.0	1.0	0.0	0.0	0.0	2.0	3.0	2.0	5.0	0.489	54.515827	656912	41.764652	45244	0.45	0.54	0.75	0.75	0.33333334	0.125	0.8	0.57421875	0.067206174	0.57249457	0.23623253	0.5064935	64.0	0.125	0.0	0.0	0.0	1.0
352	90706	205	1	"c"	3	1073	13820	"S"	2	1	1	1	1	1	1	1	2	1	1	4			3	1	1	2	1	10	1		2		1	2	1	1	3	1	2	2	1	4	2	3	3	1	1	3	1	1	3							1	1	1	1	1	2	1	2	1	1								2		2	1	2	1	4	2	2		2	1	3	2	1	1	1	1	1	2	2		2	1	2	2	1	29	5	2	1	1	2	1	1	5		5	1	1	1	1		3		1	1	1	1	1	4	35062	1	1	1	17			"OVSPENDING IN EDUCATION"	12			"WHOLE IMMIGRATION THING"	1	3	3	2	3	1	4.487804878048781	6	60907	5.0	5.0	1.0	1.0	0.0	0.0	0.0	5.0	5.0	5.0	2.0	0.489	54.515827	656912	41.764652	45244	0.45	0.54	1.0	1.0	0.6666667	0.5	0.2	0.57421875	0.067206174	0.57249457	0.23623253	0.5064935	29.0	0.5	0.0	0.0	0.0	1.0
351	90706	205	1	"c"	3	1073	13820	"S"	2	2	2	1	1	1	2		2	2			1	2	1	1	1	1	1	10	1			1	1	1	2	1	1	2	3	1	1	2	1	1	1							2	1	2	2	2	2	1	1	1								1	1	1	1	1	1	1		1	2	3	2	1	1	2		2	2	2	3	2	1	1	2	1	9	9		2	2	1	3	3	3	99	4	2	1	9	2	1	1	2		10	1	1	1	1		3		3	1	1	9	9	4	35173	1	1	2	60			"peacew an iraq"						3	3		2	1	1.5121951219512195	1	60907	5.0	3.0	0.0	1.0	0.0	0.0	0.0		4.0	4.5529637	5.0	0.489	54.515827	656912	41.764652	45244	0.45	0.54	1.0	0.5	0.5	0.44412047	0.8	0.57421875	0.067206174	0.57249457	0.23623253	0.5064935	50.0		0.0	0.0	0.0	0.0
748	91006	205	1	"c"	3	1075	0	"R"	3	2	1	1	1	1	2		2	4			3	1	3	3	1	1	1	10	3	3		1	1	2	3	2	1	2	3	1	1	9	1	1	2							1	1	1	2	2	4	9	9	9								9	9	9	9	9	9	9		4	9	2	2	2	1	1		2	2	4	3	1	2	1	2	1	1	2		1	2	3	2	3	1	39	5	2	1	1	1	1	1	4		5	1	1	3		9			2	1	1	1	1	1	35576			2	20			"DRUGS"					2	1	5	3	3	1	1.6829268292682926	11	60908	3.0	4.0	1.0	1.0	0.0	0.0	1.0	5.0	5.0	5.0	3.0	0.506	86.98365	14743	12.236316	33887	0.28	0.71	0.5	0.75	0.6666667	0.5	0.4	0.64062494	0.0013904775	0.16773094	0.11289815	0.7272727	39.0	0.5	1.0	0.0	0.0	1.0
810	90906	256	1	"c"	3	1077	22520	"U"	1	1	2	2	1	2	1	1	1	3	2	3			3	1	1	1	1	10	2		1		2	2	1	1	3	1	3	2	4	1	1	1	1	1	1	2	3	3	1							2	2	2	2	2	2	2	2	2	2								1		3	2	1	2	4	1	1		1	4	2	1	1	2	4	2	2	3	4		1	3	3	3	3	63	6	2	2	4	2	8		3	"UNIVERSALIST"	2	1	1	3		2		1	4	1	2	3	1	4	35630	1	2	1	59			"LACK OF DIPLOMACY"	1			"THE IRAQ WAR"	3	2	4	5	4	2	1	6	60908	2.0	2.0	0.0	0.0	1.0	1.0	0.0	2.0	6.0	2.0	4.0	0.459	87.29758	91762	10.238443	39345	0.39	0.6	0.25	0.25	0.8333333	0.125	0.6	0.45703122	0.00928413	0.14034483	0.17217076	0.5844156	63.0	0.125	1.0	0.0	0.0	0.0
389	90706	256	1	"c"	3	1089	26620	"U"	1	2	1	9	1	2	1		2	1			4	3	2	1	1	1	1	10	2			2	1	2	3	1	3	2	2	9	3	3	1	2	2							2	1	2	2	2	3	2	2	2								2	2	2	2	2	2	2		2	2	1	1	2	2	1		2	2	2	3	2	1	1	1	2	1	2		1	9	1	3	3	3	21	5	2	2	5	2	1	2	3		10	1	1	3		2		3	3	1	2	1	2	4	25810			2	26	37		"SOCIAL SECURITY AND HEALTH CARE"					1	3	4	1	3	2	3.292682926829268	3	60906	2.0	3.0	1.0	0.0	1.0	0.0	0.0		5.0	4.8609247	4.0	0.448	69.90838	323080	23.541227	55851	0.4	0.59	0.25	0.5	0.6666667	0.4826156	0.6	0.41406256	0.032991838	0.32269454	0.3514221	0.57142854	21.0		0.0	0.0	0.0	1.0
806	90806	256	1	"c"	3	1089	26620	"S"	2	2	2	1	1	1	2		2	1			2	2	1	3	1	2	1	9	1			1	1	1	2	2	1	2	2	1	2	3	1	1	1							2	1	1	1	1	1	1	1	1								2	2	1	2	1	1	1		1	3	1	2	1	2	2		2	1	3	3	2	9	1	2	1	1	2		2	1	9	2	3	3	57	3	2	1	1	2	1	1	1		3	1	1	1	1		3		2	1	1	2	1	4	35773			1	1			"the economy"					3	3	4	5	2	1	2.7804878048780486	4	60906	5.0	4.0	0.0	1.0	0.0	0.0	0.0	3.0	3.0	3.0	6.0	0.448	69.90838	323080	23.541227	55851	0.4	0.59	1.0	0.75	0.33333334	0.25	1.0	0.41406256	0.032991838	0.32269454	0.3514221	0.57142854	57.0	0.25	0.0	0.0	0.0	0.0
211	90606	251	1	"c"	3	1097	33660	"U"	1	1	1	2	1	2	1	1	1	3	1	4				3	1	1	1	10	2		1		2	2	1	1	2	1	2	1	4	1	1	1	4	1	2	1	3	2	2							2	2	2	2	2	2	2	2	2	2								2		9	2	2	2		1	1		1	4	2	1	2	2	4	2	2	1	3		1	2	1	1	2	57	7	2	1	1	2	1	2	5		8	1	1	2	1			1	5	1	2	1	1	4	36607	1	1	1	43			"AN IDIOT AS A PRESIDENT"	1			"IRAQ"	3	3	4	5	4	1	1.5609756097560976	1	60906	1.0	1.0	1.0	1.0	0.0	0.0	0.0	8.0	7.0	8.0	2.0	0.471	61.263767	408620	34.468945	40996	0.41	0.59	0.0	0.0	1.0	0.875	0.2	0.5039062	0.041758806	0.4724877	0.19010024	0.57142854	57.0	0.875	1.0	0.0	0.0	1.0
381	90706	251	1	"c"	3	1097	33660	"S"	2	2	2	9	1	9	2		1	3			2	1	4	1	1	1	1	10	9	9		1	2	2	1	1	1	2	3	1	3	1	1	1	1							1	1	1	1	2	1	2	1	1								2	2	9	2	9	2	9		1	3	2	2	1	2	2		2	9	3	3	1	3	1	3	1	1	1		3	1	3	3	3	1	59	3	2	1	1	1	1	1	3		8	1	1	2	2			1	3	1	1	1	1	4	36582	1	1	1	60	76	88	"I THINK THE WAR AND THE GAS SITUATION AND THE KATRINA PROBLEMS"					3	3	4	5	2	1	2.7804878048780486	6	60906	2.0	3.0	0.0	1.0	0.0	0.0	0.0	8.0	3.0	8.0	4.0	0.471	61.263767	408620	34.468945	40996	0.41	0.59	0.25	0.5	0.33333334	0.875	0.6	0.5039062	0.041758806	0.4724877	0.19010024	0.57142854	59.0	0.875	1.0	0.0	0.0	0.0
220	90606	251	1	"c"	3	1097	33660	"U"	1	1	2	1	1	9	4	1	1	3	1	2				3	1	2	1	10	1		1		1	1	3	1	1	2	3	1	1	2	2	1	1	2	2	1	2	1	2							1	1	1	1	1	1	1	1	1	1								1		2	1	1	1		2	1		9	2	3	1	1	1	2	1	1	9	2		1	3	3	3	3	80	3	2	1	4	2	1	1	2		9	1	1	1	1		1		2	1	1	3	1	4	36693	2		2	96			"TOO MUCH VOLGURE THING IN MEDIA"	1			"WAR"	4	3	4	6	2	1	2.8780487804878048	1	60906	5.0	4.0	0.0	1.0	0.0	1.0	0.0	9.0	3.0	9.0	5.0	0.471	61.263767	408620	34.468945	40996	0.41	0.59	1.0	0.75	0.33333334	1.0	0.8	0.5039062	0.041758806	0.4724877	0.19010024	0.57142854	80.0	1.0	1.0	0.0	0.0	0.0
249	90606	334	1	"c"	3	1101	33860	"U"	1	2	1	1	1	1	2		1	4			4	4		3	1	4	2	1	2			2	1	9	3	1	3	2	3	1	1	1	1	2	4							4	1	2	1	2	4	3	2	3								3	1	3	9	1	3	3		9	9	1	1	2		3		1	1	1	1	2	2	2	9	2	1	1		1	1	3	1	3	3	30	3	2	1	2	2	1	1	4		2	1	2	1	1		3		3	2		1	3	4	36110			2	76	55		"fuel prices less troops over sea"					2	2	3	2	2	1	2.926829268292683	1	60906	5.0	3.0	1.0	1.0	0.0	0.0	0.0	2.0	3.0	2.0	3.0	0.486	41.984844	228018	53.837418	43725	0.5	0.49	1.0	0.5	0.33333334	0.125	0.4	0.5625	0.023248963	0.73798364	0.21973655	0.44155845	30.0	0.125	0.0	0.0	0.0	1.0
916	90906	334	1	"c"	3	1101	33860	"U"	1	1	2	2	1	1	1	1	1	2	1	4			3	3	1	1	1	10	2		2		1	1	2	1	2	2	3	1	2	1	1	1	2	2	2	2	2	1	2							2	2	2	2	2	2	2	2	2	2								2		4	2	2	2	3	2	2		1	3	3	2	2	2	3	2	2	2	3		2	3	1	1	2	35	6	2	2	1	1	1	2	2		6	1	1	2	1			1	3	1	2	1	1	4	36117			2	60			"THE WAR"	1			"THE WAR"	2	2	3	3	4	2	1.2682926829268293	7	60906	1.0	3.0	0.0	0.0	1.0	0.0	0.0	6.0	6.0	6.0	5.0	0.486	41.984844	228018	53.837418	43725	0.5	0.49	0.0	0.5	0.8333333	0.625	0.8	0.5625	0.023248963	0.73798364	0.21973655	0.44155845	35.0	0.625	0.0	0.0	0.0	0.0
